timestamp	step	epoch
1667319634900	0	0
1667319635606	1	0
1667319636363	2	0
1667319637105	3	0
1667319637807	4	0
1667319638528	5	0
1667319639239	6	0
1667319640031	7	0
1667319640782	8	0
1667319641535	9	1
1667319642245	10	1
1667319642942	11	1
1667319643644	12	1
1667319644374	13	1
1667319645087	14	1
1667319645802	15	1
1667319646543	16	1
1667319647287	17	1
1667319648064	18	2
1667319648775	19	2
1667319649501	20	2
1667319650240	21	2
1667319650939	22	2
1667319651663	23	2
1667319652368	24	2
1667319653156	25	2
1667319653921	26	2
1667319654667	27	2
1667319655388	28	3
1667319656156	29	3
1667319656921	30	3
1667319657654	31	3
1667319658374	32	3
1667319659098	33	3
1667319659804	34	3
1667319660575	35	3
1667319661335	36	3
1667319662090	37	4
1667319662815	38	4
1667319663554	39	4
1667319664266	40	4
1667319664970	41	4
1667319665695	42	4
1667319666445	43	4
1667319667169	44	4
1667319667885	45	4
1667319668629	46	5
1667319669320	47	5
1667319670026	48	5
1667319670727	49	5
1667319671449	50	5
1667319672168	51	5
1667319672873	52	5
1667319673629	53	5
1667319674360	54	5
1667319675073	55	5
1667319675804	56	6
1667319676518	57	6
1667319677280	58	6
1667319678050	59	6
1667319678756	60	6
1667319679463	61	6
1667319680216	62	6
1667319680964	63	6
1667319681699	64	6
1667319682675	65	7
1667319683548	66	7
1667319684458	67	7
1667319685240	68	7
1667319685983	69	7
1667319686747	70	7
1667319687468	71	7
1667319688211	72	7
1667319688967	73	7
1667319689705	74	7
1667319690437	75	8
1667319691148	76	8
1667319691873	77	8
1667319692616	78	8
1667319693335	79	8
1667319694104	80	8
1667319694969	81	8
1667319695939	82	8
1667319696695	83	8
1667319697486	84	9
1667319698248	85	9
1667319698969	86	9
1667319699643	87	9
1667319700324	88	9
1667319701082	89	9
1667319701791	90	9
1667319702494	91	9
1667319703201	92	9
1667319704708	93	9
