timestamp	step	train_loss
1667319634900	0	0.2538783550262451
1667319635605	1	0.12091100215911865
1667319636357	2	0.12470507621765137
1667319637099	3	0.29523080587387085
1667319637804	4	0.18519969284534454
1667319638522	5	0.19864319264888763
1667319639233	6	0.049713119864463806
1667319640029	7	0.0433705635368824
1667319640777	8	0.16437727212905884
1667319641529	9	0.005866001360118389
1667319642240	10	0.2985468804836273
1667319642937	11	0.09515662491321564
1667319643639	12	0.05396682396531105
1667319644368	13	0.033878762274980545
1667319645086	14	0.009961352683603764
1667319645800	15	0.04586341232061386
1667319646543	16	0.0591779462993145
1667319647281	17	0.0315016470849514
1667319648058	18	0.05290412902832031
1667319648769	19	0.003621303476393223
1667319649495	20	0.007977835834026337
1667319650238	21	0.021479638293385506
1667319650933	22	0.0730334147810936
1667319651657	23	0.0581701435148716
1667319652363	24	0.03176696598529816
1667319653150	25	0.030423656105995178
1667319653915	26	0.032776329666376114
1667319654661	27	0.0476490817964077
1667319655387	28	0.0017531031044200063
1667319656151	29	0.006137216929346323
1667319656915	30	0.00275513157248497
1667319657648	31	0.0169962327927351
1667319658368	32	0.01770693250000477
1667319659093	33	0.138478085398674
1667319659798	34	0.0662873312830925
1667319660573	35	0.009331725537776947
1667319661329	36	0.013120852410793304
1667319662084	37	0.08075740188360214
1667319662809	38	0.008329907432198524
1667319663548	39	0.018144363537430763
1667319664265	40	0.0427388958632946
1667319664970	41	0.06312601268291473
1667319665694	42	0.08987901359796524
1667319666444	43	0.026424892246723175
1667319667168	44	0.06612233072519302
1667319667884	45	0.01064385287463665
1667319668627	46	0.018609214574098587
1667319669315	47	0.06835918873548508
1667319670021	48	0.0022238714154809713
1667319670725	49	0.009994430467486382
1667319671448	50	0.014626591466367245
1667319672162	51	0.00909383874386549
1667319672868	52	0.03340311720967293
1667319673624	53	0.0031982383225113153
1667319674354	54	0.002836770610883832
1667319675068	55	0.02612212300300598
1667319675798	56	0.020648296922445297
1667319676512	57	0.006486797705292702
1667319677274	58	0.0579848513007164
1667319678044	59	0.052263423800468445
1667319678750	60	0.04736501723527908
1667319679458	61	0.13099125027656555
1667319680210	62	0.0026151633355766535
1667319680964	63	0.025939516723155975
1667319681698	64	0.0023091461043804884
1667319682675	65	0.007359975017607212
1667319683546	66	0.0787491649389267
1667319684456	67	0.0116806011646986
1667319685234	68	0.031694017350673676
1667319685977	69	0.08798284828662872
1667319686741	70	0.0234057754278183
1667319687462	71	0.09283548593521118
1667319688205	72	0.030582819133996964
1667319688962	73	0.0018281881930306554
1667319689704	74	0.008154475130140781
1667319690437	75	0.03630000725388527
1667319691142	76	0.0221596360206604
1667319691867	77	0.04543743282556534
1667319692616	78	0.02270527370274067
1667319693329	79	0.11374934017658234
1667319694103	80	0.010588654316961765
1667319694967	81	0.006595781538635492
1667319695938	82	0.038171783089637756
1667319696695	83	0.0014954025391489267
1667319697480	84	0.002805874450132251
1667319698242	85	0.00687764398753643
1667319698968	86	0.0017480019014328718
1667319699641	87	0.04890501871705055
1667319700322	88	0.03170492500066757
1667319701077	89	0.007663094904273748
1667319701785	90	0.026632914319634438
1667319702488	91	0.0027775701601058245
1667319703200	92	0.021793540567159653
